client_id,group_test
3570669,control
7477624,control
6282795,control
6324067,control
5432649,control
331379,control
2062763,test
1163409,test
2553718,test
2759297,test
9173795,test
9077478,test
287756,control
9076007,test
3495059,control
1949154,control
4219577,control
7688646,control
2741439,test
1227035,test
8728382,control
463029,test
7463451,control
7069926,test
7543252,control
9382892,test
6191302,control
5617039,test
1565127,test
3531620,control
7283635,control
8911405,test
9777919,test
2857152,test
8608071,test
9154283,test
7680107,control
2133839,control
1585267,test
3016724,control
161491,control
6106468,control
8182943,test
3239523,control
8538655,test
5322608,control
9128593,control
5823616,test
4706669,control
6431498,control
5841499,control
3703282,control
3571495,control
451443,control
6637378,test
8463084,control
3836344,control
4258976,test
3669611,control
8939444,control
5644756,control
3923657,test
4305565,control
5089039,control
8965532,control
943003,test
2357486,test
9398963,test
1731028,test
8753196,control
6407208,control
2304952,test
9788829,test
2567360,test
4935415,test
2796936,control
4087981,control
1324064,control
2649386,test
2854435,test
637858,control
6121098,test
1322426,test
7336361,test
4623083,test
5617888,test
9638466,control
1527623,control
7758621,test
9603341,control
3418762,control
6240775,test
7564737,test
9128690,test
2195243,test
4147935,test
3062998,test
487462,test
2353193,control
5588396,test
4917803,control
5490654,test
6742624,control
1758566,control
9322805,test
2159101,test
9716117,control
1663358,test
9416337,control
8201398,control
5916407,test
3678111,test
3960380,test
5715241,control
6388327,control
5249171,test
8696157,control
5871224,test
4744245,control
2430937,test
780112,test
809082,test
9612831,control
1865475,test
597792,test
233601,control
1288151,test
8482662,control
174806,control
8620393,test
5919352,control
7397258,control
1311965,control
37408,control
8806276,test
269636,control
7379864,test
5472730,control
9646248,test
2825830,control
6595818,test
9740561,control
9778121,test
8089534,test
1269483,test
6828613,test
6724757,test
7024149,control
6183060,test
6379127,control
7602354,control
345640,test
5180590,test
866133,test
1953574,test
7817761,test
3133001,test
2162418,test
4038383,test
6019257,control
3751021,test
9750016,control
979164,test
5810734,test
1756663,control
6267076,control
196053,control
6741529,control
9132831,test
5060221,control
2968554,control
3401354,test
3132213,control
8891903,test
8242142,test
301165,test
6078664,test
152356,control
8097000,control
242235,test
2363857,control
31502,control
6494639,control
8136342,control
3445770,test
626494,test
3874722,control
7723706,test
2936450,test
7276456,control
2563749,control
8597519,control
8870501,test
160741,test
8891137,test
8254513,control
1374352,test
775176,control
1842343,control
329631,control
4542043,control
7825280,test
6745139,test
6010099,test
3905636,test
283734,test
7957690,control
8069676,control
6396836,test
1423055,test
3135162,test
3623291,test
7344865,control
825852,control
2247954,test
2712519,control
1064476,test
5738894,control
2806504,control
282077,control
3770237,control
499699,test
6195846,control
3920526,test
1900411,control
648881,test
7937128,test
6081769,test
5662925,control
4129662,test
8705202,control
1485054,test
9171585,test
981888,control
9390879,test
7563831,test
103669,test
8902463,control
8409638,test
7583640,control
8413740,control
4145746,test
8171000,control
8586525,test
3667191,test
5112619,control
930021,test
3086953,test
5804913,test
5057948,control
6932133,control
4142763,test
2558031,control
6601606,control
9993047,control
2077336,control
7598039,test
7031386,control
254491,control
8003355,test
7923876,control
8443142,test
8253753,test
1154031,control
7202634,test
7882288,test
9263439,test
1662843,control
5790286,control
823482,control
7534562,test
8326453,test
2929334,test
9669255,test
2555657,test
5703905,test
4439304,test
3673713,control
2775504,test
770147,control
3450220,test
6396865,control
6571403,control
8014451,control
1273901,test
8807567,test
5856806,test
685442,control
3188445,control
5225442,test
2854662,test
3449302,control
8182204,control
2809254,test
2529944,test
7050904,test
8627381,control
5926577,test
8151693,control
6168374,control
881057,test
5555638,control
41516,control
5552819,control
2763758,control
9599875,test
5245124,test
4740032,test
9006692,test
4156608,test
240400,control
3236351,test
5065737,test
7143633,control
6735099,control
9404539,control
9923389,control
503051,control
1669156,test
6542682,control
86780,test
2572041,control
2736294,test
5875727,control
9465015,test
239291,test
7258079,test
4914129,control
2010851,control
6623614,control
9101443,control
6157625,test
3007171,test
353727,control
379137,control
260044,test
42725,test
2819518,test
6862532,test
6036804,test
3329380,test
2898817,control
244011,test
786681,control
941279,control
581882,control
478808,test
2937724,control
773462,control
4766855,test
7893040,control
3423690,control
2153015,control
8538953,control
6490503,control
966341,test
515712,control
2395001,control
460257,test
2237376,test
533320,control
1814949,test
118415,control
270682,control
3407926,control
3812607,test
2620242,control
9887430,test
8671775,control
938268,test
3272906,test
8486603,control
4187527,control
8150031,test
356783,control
6796179,control
8876038,test
1341612,test
5156080,test
4135832,test
1636131,control
9618925,control
6399218,test
6199688,control
6462925,test
6340179,control
4649676,test
6343693,control
7538120,control
148037,control
50325,test
7852915,control
1941272,test
963164,control
3592062,control
7777790,test
7259206,test
6292773,control
6949668,control
108419,test
8866432,test
7430457,test
7059321,control
115839,test
6139333,test
5609004,control
4564948,test
4108261,test
4296623,control
2387182,control
3382714,control
4366790,test
6928355,test
5489642,test
5457087,test
5793876,test
9772972,control
4752282,control
5807085,test
2482224,control
8115079,control
3103157,test
1666696,test
6571686,control
4391047,control
2952896,test
4350833,control
8166616,control
4540109,test
5636190,test
3556889,test
7136865,control
3766006,test
2090574,test
3128635,test
6198147,test
9160341,test
9409908,control
5642208,test
8985316,control
5777036,control
3394078,test
5261313,control
8818002,test
5241981,test
6255565,control
7349912,test
1425912,test
6253802,control
3343218,test
5968033,control
8585073,test
144773,control
4726935,test
1770552,control
3407812,test
4852240,control
5625895,control
6581703,control
4862941,test
6576742,test
6808577,test
1216772,test
7044580,control
7301619,test
8002672,control
6255724,test
4646433,control
9816717,control
2478628,test
1605677,test
5598911,control
9938104,test
8498591,control
7385999,control
5757723,control
4992306,control
1181777,control
204361,control
4972552,control
5021259,control
3089372,test
2411318,control
267299,control
3756516,test
3177299,test
1667795,control
2626569,test
4077197,test
7691865,test
1830511,control
4916553,test
7511654,control
4834299,test
1462470,test
9424502,control
1194408,control
3192339,test
3710720,control
5588167,test
612481,control
1316402,test
428188,control
1912082,test
4070915,test
5469096,control
5037795,control
8548477,test
1759261,control
640995,test
673672,control
9575330,test
5004515,test
3698628,control
9787741,control
1300224,test
6765138,test
6217298,test
1032721,control
4453547,control
1423754,test
7013769,control
1707115,test
86616,control
8514305,control
3077416,control
8140196,test
7803457,control
4803107,test
9041483,control
4373203,control
7470426,control
1051377,control
9198825,control
9709954,control
4623321,test
6126502,control
3064729,test
5838845,test
6340382,test
2521236,test
714189,test
8296896,test
7054527,control
5742957,test
8767041,control
1456682,test
9087617,test
9670804,test
3034096,test
1715882,test
3766933,control
6365047,test
7983890,test
2785646,test
3530964,test
7582587,control
822741,control
4071532,test
6643288,test
9513978,test
7408332,test
8430663,test
7991318,control
5316428,control
9100219,control
4674528,control
228868,test
3927920,control
8635406,control
7226525,test
4777945,control
5366824,test
7451853,control
7182819,control
3313315,test
151897,test
3385688,control
3121872,test
6158691,test
8241833,test
356363,control
4337771,test
9723734,test
3640838,control
2048347,test
882187,control
9031350,control
9481495,control
6060172,test
626263,test
4652540,test
5844424,control
6906248,test
17170,test
3818866,test
9907037,control
2794902,control
556488,test
8959138,test
9244149,control
8881398,control
2009543,test
8622758,test
8537506,test
2545621,control
8170103,test
4275169,test
607427,control
2700187,control
1810029,control
1607366,test
6226635,control
9750214,control
1459001,control
4045514,test
7344392,test
1311966,test
2477549,control
7512804,control
2979920,test
3831166,control
8586276,control
1204758,test
1187904,test
4028430,control
5830053,test
9010076,control
4715889,test
6444330,control
3788589,control
151250,test
2466669,control
3250807,control
2549128,control
8431740,test
6873514,test
5862154,test
3562647,test
7399603,test
7226122,test
5177112,test
6028020,control
1986539,control
7428656,test
5865838,control
7053382,test
3810215,test
8621093,test
458225,test
8528827,test
8875616,control
242922,control
9362131,test
716476,test
7590603,control
2287580,control
3923067,control
5412643,control
6822246,control
6912802,test
4370671,test
4514170,test
7686541,control
1892368,control
6149800,control
9518630,test
7642645,test
6983917,control
1726128,test
4411115,test
9996404,control
4319645,test
2551688,test
480944,control
8950912,test
4701960,control
3154922,control
9434878,test
3835844,test
6255392,test
819286,test
2406154,test
3173824,control
1176152,control
7277156,control
5025952,test
1675926,control
591482,control
7913751,test
5341221,control
657899,test
3069127,control
4682874,test
9002320,control
7208080,test
6090669,test
3387213,control
443921,test
6630494,control
1287625,test
5570866,control
4582892,control
1790963,test
8876250,control
6229944,test
6075274,test
861868,control
36432,test
3185304,test
6574408,test
7816330,test
301637,test
7749080,test
7139320,test
4701250,control
7055327,test
5040886,test
9937975,control
8055629,control
218903,control
2952186,control
7751717,test
1067325,test
1222857,test
3720127,control
1120859,test
2195967,control
4553704,test
1346930,control
4244465,control
5468324,test
1213731,control
761733,control
2914362,test
7783740,control
8087904,control
8752019,test
9645276,test
9710210,test
6770720,control
3362285,control
9171889,test
1787893,control
4045580,test
3518821,test
1161189,test
4787429,test
6499575,control
8605475,control
8482912,control
165765,test
5966661,test
7401406,test
1694251,test
7305468,test
3357999,control
2689307,test
9771204,control
5043454,test
623101,control
1430839,control
9928657,control
4351236,test
7732650,control
2580200,control
1896723,test
1325390,test
6642557,test
9045790,control
5326567,test
5294828,test
1020828,test
4579064,test
4765130,test
9506769,test
4832456,test
6885985,control
7926426,control
5890995,control
9945726,test
7266777,control
460505,control
6796201,control
1996689,control
5008443,test
5424144,test
8718073,test
5554678,control
4438069,control
3500934,control
5827480,test
2365141,control
6590646,test
435886,test
6862397,control
8942980,control
5114108,control
351093,control
126171,control
4918622,test
1631726,test
2791866,control
5758766,test
1453972,test
2255988,test
6888356,control
3704365,test
4924821,test
8635284,test
1356002,control
3806065,control
5007915,control
8755557,test
5194608,control
3466478,control
4561584,control
9577370,control
9478703,test
1410425,control
4514549,test
5749929,control
4702480,control
5411447,test
364039,control
9236931,test
2292643,test
9262125,test
179358,test
7559997,test
3830629,control
6374491,test
5925148,test
5971471,control
2466307,control
4570044,test
308060,test
3399237,control
5977906,control
918500,control
3412931,test
3647,control
2058971,control
619342,control
5430280,control
1225544,control
9403797,control
4481852,test
4282258,control
2559643,control
9375060,test
1332220,control
6768889,control
9381192,test
2747302,control
5204398,control
7114961,test
6351585,control
6758838,test
4787356,test
2142735,test
5105149,control
344514,test
5414090,test
2527557,test
5852774,test
1677568,test
6591498,test
4439782,test
5234643,test
303551,test
3788267,test
1279440,control
4866771,test
1512189,test
8593429,test
5742686,control
3798807,control
2335870,test
2689442,control
847857,control
2978756,test
637311,test
6382317,control
8794498,test
3174093,test
1676334,test
3710401,test
9237579,test
1609177,test
6292241,test
9206406,test
6807117,test
7825997,control
5092873,test
9245893,control
1499432,test
5612493,control
1650908,control
6615461,control
5342626,test
5487813,test
9331765,control
1140645,test
9568221,control
492655,control
9386056,test
694766,control
6873920,test
29595,control
8596397,test
3530321,test
7914595,test
6739923,control
2695688,control
517259,control
6706745,test
1058810,test
4275135,control
7606773,test
4723532,control
8258757,test
4829849,control
8815733,test
1901368,control
9345807,test
5433338,control
8627270,test
9866491,test
2652105,control
2802304,test
235342,test
6840926,test
1260052,control
5528233,test
5136874,test
4494333,test
5777346,control
5138453,test
7366477,control
9726561,test
3367240,test
848688,test
8165838,test
9626258,test
2854270,test
9189058,control
1550778,test
3016688,test
5291697,test
3307085,test
3233686,control
6125341,control
4757519,test
4991005,test
6213231,control
8486666,control
2629116,control
6435836,control
754331,test
6544888,control
3688173,test
4190539,control
9849562,test
3246449,test
3750841,control
5501459,test
3950663,control
2387654,test
3505821,test
3700826,control
6029258,control
740601,test
2020501,control
8677760,test
2637815,test
4589552,control
1919322,test
6986441,test
598498,test
3907538,test
9061056,control
4244422,test
8160451,control
3935774,test
2436537,test
9885646,test
3990290,test
2905387,test
3751050,control
7368906,test
4569203,control
6777869,control
3035258,test
8889840,control
3257971,test
7639568,test
3831678,control
7560060,test
5408776,test
529230,test
2820987,control
3885331,control
2983616,test
4925950,test
8362346,test
3741674,test
2253226,test
2493350,control
7463154,control
5470155,test
7820539,test
8370440,test
1239722,control
7122374,control
5149271,control
2111947,test
5145224,control
6727416,control
5800745,control
1939550,control
3307527,control
1545935,test
4476742,control
888529,control
4230817,control
1352216,control
8442245,control
8462687,test
8040332,control
43766,control
460912,control
7709844,test
1484467,control
8290239,control
8402909,control
1731140,control
9906255,test
6646483,test
618446,test
6189129,test
4054538,control
1146114,control
7080124,control
6155209,test
9004289,control
8159840,control
6246012,test
9890510,test
1672032,control
197374,test
7928596,control
6000156,control
9970264,control
2934958,test
7207966,test
4647580,control
7167518,control
168940,control
7390660,control
1119039,test
246922,test
4318210,test
2403493,control
1633376,control
136986,control
5316693,test
8829649,control
3398321,control
7091719,test
7132575,test
1949391,test
4519913,control
2549650,test
6609008,test
4063405,control
6232074,control
9937269,control
6047255,control
7337867,control
1113765,control
1361156,control
3673027,test
25766,control
193305,test
7054514,test
6707552,control
9597768,test
9132044,test
7484370,control
9237119,test
2337117,test
8603917,test
3812799,test
3641080,test
7539703,control
1285998,test
1664346,test
2888690,control
9080796,test
7910879,test
1965939,test
2189824,test
2191853,test
468552,control
6516253,control
2346970,control
9484395,test
4218473,test
8365988,test
9262676,test
892794,control
9118111,control
3701316,control
2282258,test
451019,control
1557790,control
8332895,test
465367,control
2129448,control
7146837,test
208722,control
5700388,control
8315431,control
1649221,control
5968386,test
3519727,test
6413727,test
2120119,control
6104189,test
1894800,test
5194510,control
3334550,control
4916223,control
4360034,test
6888629,control
861392,control
9586139,test
861316,test
1113707,control
3141257,control
8525803,control
6037374,test
6949770,control
7831354,test
347861,test
5662516,test
9053216,test
128983,control
6227816,control
3866893,test
9438773,test
2504179,control
4173645,test
376793,test
4740322,control
4834935,test
8492567,test
5302222,test
9337989,test
3662912,control
669111,control
3307754,control
9869697,test
9342924,control
8152115,control
3881207,test
5979866,test
9999832,test
8427304,test
4823816,test
9103512,control
6058024,control
8673902,control
3030826,test
1728834,test
6224380,control
5742352,control
6156362,control
1151722,test
1608769,test
3405360,test
9406349,control
2367390,test
1430624,test
6701737,control
3879152,test
6814823,test
8530901,control
3875578,test
3062036,test
8865699,control
945455,test
5548724,control
9110158,test
2813653,control
3527712,test
5638347,control
1703474,test
172858,test
6249518,test
1781226,control
6600012,test
9086639,test
4857475,test
7750591,test
35181,test
3879712,test
1581569,test
1221967,control
553313,test
9506863,test
3350550,test
1746534,test
5755171,test
7763229,test
4243629,test
9575481,control
94552,test
1169747,test
4934661,test
7663095,control
8553099,control
7968992,control
157852,control
27021,control
3443827,control
5763299,control
9289178,control
